state_id,session_id,fatigue_level,emotion_state,confidence_score
1,1,High,Neutral,0.63
2,1,Low,Happy,0.66
3,1,Medium,Sad,0.96
4,1,Medium,Sad,0.76
5,1,Medium,Angry,0.97
6,2,Low,Happy,0.61
7,2,Low,Stressed,0.78
8,2,Medium,Neutral,0.96
9,2,High,Angry,0.69
10,2,Medium,Sad,0.76
11,3,High,Sad,0.72
12,3,Low,Angry,0.62
13,3,Low,Neutral,0.95
14,3,Low,Sad,0.74
15,3,High,Angry,0.75
16,4,Low,Angry,0.79
17,4,High,Stressed,0.59
18,4,Medium,Stressed,0.59
19,4,High,Happy,0.95
20,4,High,Neutral,0.94
21,5,Medium,Angry,0.99
22,5,Medium,Stressed,0.51
23,5,Medium,Stressed,0.5
24,5,Medium,Stressed,0.76
25,5,Medium,Happy,0.74
26,6,Low,Sad,0.72
27,6,Low,Happy,0.64
28,6,Medium,Neutral,0.99
29,6,Low,Happy,0.61
30,6,Medium,Neutral,0.74
31,7,Medium,Happy,0.99
32,7,High,Sad,0.69
33,7,High,Angry,0.69
34,7,Low,Neutral,0.62
35,7,High,Stressed,0.89
36,8,Low,Happy,0.93
37,8,Low,Happy,0.52
38,8,High,Sad,0.78
39,8,High,Neutral,0.98
40,8,High,Angry,0.66
41,9,High,Stressed,0.71
42,9,Medium,Neutral,0.97
43,9,High,Angry,0.76
44,9,Low,Stressed,0.69
45,9,Medium,Sad,0.78
46,10,Medium,Angry,0.86
47,10,Low,Neutral,0.53
48,10,Medium,Sad,0.96
49,10,Low,Sad,0.73
50,10,Low,Sad,0.57
51,11,Low,Angry,1.0
52,11,High,Stressed,0.93
53,11,Medium,Happy,0.94
54,11,Low,Angry,0.85
55,11,Low,Sad,0.78
56,12,Medium,Happy,0.6
57,12,Medium,Sad,0.78
58,12,High,Neutral,0.96
59,12,High,Sad,0.93
60,12,High,Stressed,0.7
61,13,Low,Stressed,0.82
62,13,Medium,Angry,0.69
63,13,Low,Angry,0.86
64,13,Low,Happy,0.59
65,13,Low,Neutral,0.99
66,14,Low,Happy,0.8
67,14,Low,Stressed,0.62
68,14,Medium,Happy,0.56
69,14,High,Sad,0.55
70,14,Low,Stressed,0.81
71,15,High,Happy,0.51
72,15,High,Happy,0.76
73,15,Medium,Neutral,0.98
74,15,High,Sad,0.88
75,15,Medium,Happy,0.73
76,16,Low,Sad,0.54
77,16,Low,Angry,0.74
78,16,Medium,Stressed,0.55
79,16,High,Neutral,0.92
80,16,Low,Happy,0.77
81,17,Low,Sad,0.53
82,17,Medium,Stressed,0.52
83,17,Medium,Angry,0.96
84,17,Low,Neutral,0.69
85,17,Medium,Angry,0.51
86,18,High,Happy,0.81
87,18,Low,Stressed,0.67
88,18,Low,Angry,0.73
89,18,High,Stressed,0.84
90,18,High,Neutral,0.55
91,19,High,Stressed,0.75
92,19,Low,Stressed,0.71
93,19,Medium,Stressed,0.61
94,19,Medium,Angry,0.72
95,19,High,Angry,0.6
96,20,High,Angry,1.0
97,20,Low,Neutral,0.79
98,20,Low,Stressed,0.71
99,20,Medium,Happy,0.89
100,20,Low,Happy,0.55
101,21,High,Angry,0.97
102,21,Medium,Sad,0.61
103,21,Low,Stressed,0.77
104,21,Low,Neutral,0.99
105,21,Medium,Sad,0.65
106,22,High,Angry,0.5
107,22,Low,Sad,0.63
108,22,Medium,Stressed,0.68
109,22,Low,Neutral,0.99
110,22,High,Sad,0.55
111,23,Low,Angry,0.61
112,23,Low,Neutral,0.99
113,23,High,Stressed,0.73
114,23,Low,Stressed,0.63
115,23,High,Stressed,0.93
116,24,Low,Angry,0.6
117,24,High,Stressed,0.67
118,24,Low,Angry,0.57
119,24,High,Sad,0.88
120,24,High,Angry,0.83
121,25,Medium,Sad,0.9
122,25,High,Sad,0.88
123,25,Low,Happy,0.72
124,25,High,Happy,0.96
125,25,Low,Stressed,0.97
126,26,Medium,Angry,0.83
127,26,High,Neutral,0.76
128,26,High,Neutral,0.62
129,26,Medium,Sad,0.59
130,26,High,Stressed,0.62
131,27,Medium,Sad,0.67
132,27,High,Stressed,0.75
133,27,Low,Angry,0.69
134,27,High,Angry,0.81
135,27,Low,Neutral,0.99
136,28,Low,Happy,0.73
137,28,High,Neutral,0.95
138,28,High,Happy,0.7
139,28,Medium,Neutral,0.82
140,28,Low,Angry,0.96
141,29,Low,Angry,0.97
142,29,Low,Neutral,0.75
143,29,High,Neutral,0.7
144,29,Low,Neutral,0.72
145,29,Medium,Neutral,0.54
146,30,High,Sad,0.82
147,30,Low,Angry,0.69
148,30,High,Sad,0.91
149,30,Low,Sad,0.89
150,30,Medium,Neutral,0.94
151,31,Low,Stressed,0.61
152,31,High,Neutral,0.66
153,31,Low,Sad,0.51
154,31,Low,Neutral,0.63
155,31,High,Neutral,0.66
156,32,Low,Neutral,0.81
157,32,Medium,Sad,0.69
158,32,Low,Sad,0.6
159,32,Medium,Happy,0.97
160,32,Low,Angry,0.52
161,33,Medium,Neutral,0.74
162,33,High,Stressed,0.67
163,33,High,Happy,0.7
164,33,Low,Neutral,0.88
165,33,High,Stressed,0.83
166,34,High,Stressed,0.89
167,34,High,Neutral,0.78
168,34,Medium,Angry,0.8
169,34,High,Happy,0.82
170,34,High,Happy,0.63
171,35,Medium,Angry,0.75
